feature_1,feature_2,pearson,spearman,mean_abs,mean_signed
$\overline{Z}$,$\sigma(p)$,0.030161,0.129094,0.079628,0.079628
$E_\mathrm{g}^\mathrm{mBJ}$,$\overline{r}$,-0.075903,-0.083343,0.079623,-0.079623
$\sigma(|n|)$,$\sigma(m)$,0.072373,0.086608,0.079491,0.079491
$\overline{|n|}$,$\overline{Z}$,0.046895,0.096634,0.071764,0.071764
$\overline{r}$,$\sigma(\chi)$,0.082604,0.057816,0.07021,0.07021
$\overline{Z}$,$\sigma(r)$,0.058956,0.074861,0.066908,0.066908
$E_\mathrm{coh}$,$\sigma(r)$,0.072944,0.057254,0.065099,0.065099
$\overline{I}$,$\sigma(p)$,0.059943,0.070134,0.065039,0.065039
$\overline{|n|}$,$\sigma(|n|)$,0.039296,0.085538,0.062417,0.062417
$\overline{m}$,$\sigma(r)$,0.044713,0.080114,0.062414,0.062414
$E_\mathrm{coh}$,$\sigma(|n|)$,0.040006,0.084343,0.062175,0.062175
$V$,$\sigma(p)$,-0.086993,-0.027014,0.057003,-0.057003
$\overline{|n|}$,$\overline{m}$,0.044294,0.068305,0.056299,0.056299
$\overline{r}$,$\sigma(I)$,0.063325,0.044572,0.053948,0.053948
$\overline{|n|}$,$\overline{\chi}$,0.035155,0.072111,0.053633,0.053633
$\overline{r}$,$\sigma(|n|)$,-0.05588,-0.042961,0.04942,-0.04942
$\overline{\chi}$,$\sigma(|n|)$,0.0393,-0.054365,0.046833,-0.007533
$\overline{I}$,$\sigma(|n|)$,0.057365,-0.029113,0.043239,0.014126
$\overline{|n|}$,$\sigma(m)$,0.025159,0.037126,0.031143,0.031143
$\overline{|n|}$,$\overline{I}$,-0.015435,0.045752,0.030593,0.015158
$E_\mathrm{coh}$,$\sigma(p)$,0.024818,-0.031169,0.027994,-0.003176
$\overline{|n|}$,$\overline{p}$,-0.018826,0.030606,0.024716,0.00589
$\overline{|n|}$,$\sigma(p)$,-0.020729,-0.027181,0.023955,-0.023955
$\overline{|n|}$,$\sigma(Z)$,0.020744,0.027058,0.023901,0.023901
$\overline{I}$,$\sigma(r)$,0.020529,0.026124,0.023326,0.023326
$\overline{\chi}$,$\sigma(r)$,0.015501,-0.026835,0.021168,-0.005667
$\overline{p}$,$\sigma(p)$,-0.00639,0.024895,0.015642,0.009253
$\sigma(m)$,$\sigma(r)$,0.004463,0.023322,0.013893,0.013893
$\sigma(|n|)$,$\sigma(\chi)$,0.002663,0.021049,0.011856,0.011856
$\sigma(Z)$,$\sigma(r)$,0.00406,0.00775,0.005905,0.005905
